Date,City,State,Price
1987-06-01,10,Composite,66.59
1987-06-01,20,Composite,
1987-06-01,US,National,66.24
1987-07-01,Phoenix,AZ,
1987-07-01,Los Angeles,CA,63.66
1987-07-01,San Diego,CA,57.26
1987-07-01,San Francisco,CA,49.49
1987-07-01,Denver,CO,50.28
1987-07-01,Washington,DC,69.79
1987-07-01,Miami,FL,69.7
1987-07-01,Tampa,FL,79.11
1987-07-01,Atlanta,GA,
1987-07-01,Chicago,IL,57.54
1987-07-01,Boston,MA,73.09
1987-07-01,Detroit,MI,
1987-07-01,Minneapolis,MN,
1987-07-01,Charlotte,NC,65.76
1987-07-01,Las Vegas,NV,65.43
1987-07-01,New York,NY,82.22
1987-07-01,Cleveland,OH,55.74
1987-07-01,Portland,OR,41.82
1987-07-01,Dallas,TX,
1987-07-01,Seattle,WA,
1987-07-01,10,Composite,67.54
1987-07-01,20,Composite,
1987-07-01,US,National,66.8
1987-08-01,Phoenix,AZ,
1987-08-01,Los Angeles,CA,64.56
1987-08-01,San Diego,CA,57.69
1987-08-01,San Francisco,CA,49.94
1987-08-01,Denver,CO,50.38
1987-08-01,Washington,DC,70.62
1987-08-01,Miami,FL,70.16
1987-08-01,Tampa,FL,79.14
1987-08-01,Atlanta,GA,
1987-08-01,Chicago,IL,58.37
1987-08-01,Boston,MA,73.79
1987-08-01,Detroit,MI,
1987-08-01,Minneapolis,MN,
1987-08-01,Charlotte,NC,66.08
1987-08-01,Las Vegas,NV,65.14
1987-08-01,New York,NY,83.01
1987-08-01,Cleveland,OH,56.1
1987-08-01,Portland,OR,41.9
1987-08-01,Dallas,TX,
1987-08-01,Seattle,WA,
1987-08-01,10,Composite,68.25
1987-08-01,20,Composite,
1987-08-01,US,National,67.29
1987-09-01,Phoenix,AZ,
1987-09-01,Los Angeles,CA,65.38
1987-09-01,San Diego,CA,58.14
1987-09-01,San Francisco,CA,50.69
1987-09-01,Denver,CO,50.18
1987-09-01,Washington,DC,71.79
1987-09-01,Miami,FL,70.95
1987-09-01,Tampa,FL,79.24
1987-09-01,Atlanta,GA,
1987-09-01,Chicago,IL,58.85
1987-09-01,Boston,MA,74.39
1987-09-01,Detroit,MI,
1987-09-01,Minneapolis,MN,
1987-09-01,Charlotte,NC,66.47
1987-09-01,Las Vegas,NV,65.85
1987-09-01,New York,NY,83.44
1987-09-01,Cleveland,OH,56.51
1987-09-01,Portland,OR,41.8
1987-09-01,Dallas,TX,
1987-09-01,Seattle,WA,
1987-09-01,10,Composite,68.87
1987-09-01,20,Composite,
1987-09-01,US,National,67.64
1987-10-01,Phoenix,AZ,
1987-10-01,Los Angeles,CA,66.2
1987-10-01,San Diego,CA,58.53
1987-10-01,San Francisco,CA,51.33
1987-10-01,Denver,CO,50.38
1987-10-01,Washington,DC,72.57
1987-10-01,Miami,FL,71.28
1987-10-01,Tampa,FL,79.09
1987-10-01,Atlanta,GA,
1987-10-01,Chicago,IL,59.32
1987-10-01,Boston,MA,74.63
1987-10-01,Detroit,MI,
1987-10-01,Minneapolis,MN,
1987-10-01,Charlotte,NC,66.77
1987-10-01,Las Vegas,NV,66.21
1987-10-01,New York,NY,83.88
1987-10-01,Cleveland,OH,56.61
1987-10-01,Portland,OR,41.86
1987-10-01,Dallas,TX,
1987-10-01,Seattle,WA,
1987-10-01,10,Composite,69.42
1987-10-01,20,Composite,
1987-10-01,US,National,67.92
1987-11-01,Phoenix,AZ,
1987-11-01,Los Angeles,CA,66.94
1987-11-01,San Diego,CA,59.02
1987-11-01,San Francisco,CA,51.8
1987-11-01,Denver,CO,49.89
1987-11-01,Washington,DC,73.18
1987-11-01,Miami,FL,71.5
1987-11-01,Tampa,FL,79.05
1987-11-01,Atlanta,GA,
1987-11-01,Chicago,IL,59.34
1987-11-01,Boston,MA,74.83
1987-11-01,Detroit,MI,
1987-11-01,Minneapolis,MN,
1987-11-01,Charlotte,NC,67.09
1987-11-01,Las Vegas,NV,67.05
1987-11-01,New York,NY,84.02
1987-11-01,Cleveland,OH,56.6
1987-11-01,Portland,OR,41.67
1987-11-01,Dallas,TX,
1987-11-01,Seattle,WA,
1987-11-01,10,Composite,69.76
1987-11-01,20,Composite,
1987-11-01,US,National,68.11
1987-12-01,Phoenix,AZ,
1987-12-01,Los Angeles,CA,67.91
1987-12-01,San Diego,CA,59.4
1987-12-01,San Francisco,CA,52.03
1987-12-01,Denver,CO,49.86
1987-12-01,Washington,DC,73.42
1987-12-01,Miami,FL,71.41
1987-12-01,Tampa,FL,79.15
1987-12-01,Atlanta,GA,
1987-12-01,Chicago,IL,60.3
1987-12-01,Boston,MA,74.74
1987-12-01,Detroit,MI,
1987-12-01,Minneapolis,MN,
1987-12-01,Charlotte,NC,67.19
1987-12-01,Las Vegas,NV,66.66
1987-12-01,New York,NY,84.41
1987-12-01,Cleveland,OH,56.38
1987-12-01,Portland,OR,41.88
1987-12-01,Dallas,TX,
1987-12-01,Seattle,WA,
1987-12-01,10,Composite,70.22
1987-12-01,20,Composite,
1987-12-01,US,National,68.36
1988-01-01,Phoenix,AZ,
1988-01-01,Los Angeles,CA,68.66
1988-01-01,San Diego,CA,59.86
1988-01-01,San Francisco,CA,52.24
1988-01-01,Denver,CO,49.35
1988-01-01,Washington,DC,74.07
1988-01-01,Miami,FL,71.66
1988-01-01,Tampa,FL,79.36
1988-01-01,Atlanta,GA,
1988-01-01,Chicago,IL,61.2
1988-01-01,Boston,MA,74.4
1988-01-01,Detroit,MI,
1988-01-01,Minneapolis,MN,
1988-01-01,Charlotte,NC,67.61
1988-01-01,Las Vegas,NV,66.64
1988-01-01,New York,NY,84.12
1988-01-01,Cleveland,OH,56.44
1988-01-01,Portland,OR,41.61
1988-01-01,Dallas,TX,
1988-01-01,Seattle,WA,
1988-01-01,10,Composite,70.45
1988-01-01,20,Composite,
1988-01-01,US,National,68.6
1988-02-01,Phoenix,AZ,
1988-02-01,Los Angeles,CA,69.36
1988-02-01,San Diego,CA,60.12
1988-02-01,San Francisco,CA,52.64
1988-02-01,Denver,CO,49.27
1988-02-01,Washington,DC,74.88
1988-02-01,Miami,FL,71.68
1988-02-01,Tampa,FL,79.21
1988-02-01,Atlanta,GA,
1988-02-01,Chicago,IL,62.78
1988-02-01,Boston,MA,74.02
1988-02-01,Detroit,MI,
1988-02-01,Minneapolis,MN,
1988-02-01,Charlotte,NC,67.44
1988-02-01,Las Vegas,NV,65.89
1988-02-01,New York,NY,83.92
1988-02-01,Cleveland,OH,56.45
1988-02-01,Portland,OR,41.48
1988-02-01,Dallas,TX,
1988-02-01,Seattle,WA,
1988-02-01,10,Composite,70.77
1988-02-01,20,Composite,
1988-02-01,US,National,68.93
1988-03-01,Phoenix,AZ,
1988-03-01,Los Angeles,CA,70.14
1988-03-01,San Diego,CA,60.87
1988-03-01,San Francisco,CA,53.19
1988-03-01,Denver,CO,48.85
1988-03-01,Washington,DC,76.04
1988-03-01,Miami,FL,72.19
1988-03-01,Tampa,FL,79.26
1988-03-01,Atlanta,GA,
1988-03-01,Chicago,IL,64.45
1988-03-01,Boston,MA,73.4
1988-03-01,Detroit,MI,
1988-03-01,Minneapolis,MN,
1988-03-01,Charlotte,NC,67.95
1988-03-01,Las Vegas,NV,66.26
1988-03-01,New York,NY,83.48
1988-03-01,Cleveland,OH,57.16
1988-03-01,Portland,OR,41.85
1988-03-01,Dallas,TX,
1988-03-01,Seattle,WA,
1988-03-01,10,Composite,71.12
1988-03-01,20,Composite,
1988-03-01,US,National,69.33
1988-04-01,Phoenix,AZ,
1988-04-01,Los Angeles,CA,70.83
1988-04-01,San Diego,CA,61.19
1988-04-01,San Francisco,CA,54.19
1988-04-01,Denver,CO,48.58
1988-04-01,Washington,DC,77.02
1988-04-01,Miami,FL,72.47
1988-04-01,Tampa,FL,79.44
1988-04-01,Atlanta,GA,
1988-04-01,Chicago,IL,65.22
1988-04-01,Boston,MA,73.78
1988-04-01,Detroit,MI,
1988-04-01,Minneapolis,MN,
1988-04-01,Charlotte,NC,67.79
1988-04-01,Las Vegas,NV,67.11
1988-04-01,New York,NY,83.71
1988-04-01,Cleveland,OH,57.66
1988-04-01,Portland,OR,42.1
1988-04-01,Dallas,TX,
1988-04-01,Seattle,WA,
1988-04-01,10,Composite,71.65
1988-04-01,20,Composite,
1988-04-01,US,National,69.8
1988-05-01,Phoenix,AZ,
1988-05-01,Los Angeles,CA,72.03
1988-05-01,San Diego,CA,61.68
1988-05-01,San Francisco,CA,56.09
1988-05-01,Denver,CO,48.22
1988-05-01,Washington,DC,78.19
1988-05-01,Miami,FL,72.76
1988-05-01,Tampa,FL,79.88
1988-05-01,Atlanta,GA,
1988-05-01,Chicago,IL,65.53
1988-05-01,Boston,MA,74.46
1988-05-01,Detroit,MI,
1988-05-01,Minneapolis,MN,
1988-05-01,Charlotte,NC,67.92
1988-05-01,Las Vegas,NV,67.51
1988-05-01,New York,NY,84.23
1988-05-01,Cleveland,OH,58.25
1988-05-01,Portland,OR,42.58
1988-05-01,Dallas,TX,
1988-05-01,Seattle,WA,
1988-05-01,10,Composite,72.48
1988-05-01,20,Composite,
1988-05-01,US,National,70.42
1988-06-01,Phoenix,AZ,
1988-06-01,Los Angeles,CA,74.35
1988-06-01,San Diego,CA,61.54
1988-06-01,San Francisco,CA,58.22
1988-06-01,Denver,CO,48.27
1988-06-01,Washington,DC,79.56
1988-06-01,Miami,FL,73.55
1988-06-01,Tampa,FL,80.25
1988-06-01,Atlanta,GA,
1988-06-01,Chicago,IL,66.85
1988-06-01,Boston,MA,75.07
1988-06-01,Detroit,MI,
1988-06-01,Minneapolis,MN,
1988-06-01,Charlotte,NC,68.14
1988-06-01,Las Vegas,NV,67.18
1988-06-01,New York,NY,84.59
1988-06-01,Cleveland,OH,59.23
1988-06-01,Portland,OR,42.75
1988-06-01,Dallas,TX,
1988-06-01,Seattle,WA,
1988-06-01,10,Composite,73.63
1988-06-01,20,Composite,
1988-06-01,US,National,71.08
1988-07-01,Phoenix,AZ,
1988-07-01,Los Angeles,CA,77.22
1988-07-01,San Diego,CA,64.81
1988-07-01,San Francisco,CA,58.7
1988-07-01,Denver,CO,48.33
1988-07-01,Washington,DC,81.25
1988-07-01,Miami,FL,74.13
1988-07-01,Tampa,FL,80.74
1988-07-01,Atlanta,GA,
1988-07-01,Chicago,IL,67.07
1988-07-01,Boston,MA,75.53
1988-07-01,Detroit,MI,
1988-07-01,Minneapolis,MN,
1988-07-01,Charlotte,NC,68.64
1988-07-01,Las Vegas,NV,67.36
1988-07-01,New York,NY,85.02
1988-07-01,Cleveland,OH,59.7
1988-07-01,Portland,OR,43.09
1988-07-01,Dallas,TX,
1988-07-01,Seattle,WA,
1988-07-01,10,Composite,74.81
1988-07-01,20,Composite,
1988-07-01,US,National,71.69
1988-08-01,Phoenix,AZ,
1988-08-01,Los Angeles,CA,79.27
1988-08-01,San Diego,CA,65.64
1988-08-01,San Francisco,CA,59.0
1988-08-01,Denver,CO,48.52
1988-08-01,Washington,DC,82.35
1988-08-01,Miami,FL,75.02
1988-08-01,Tampa,FL,80.95
1988-08-01,Atlanta,GA,
1988-08-01,Chicago,IL,68.66
1988-08-01,Boston,MA,75.47
1988-08-01,Detroit,MI,
1988-08-01,Minneapolis,MN,
1988-08-01,Charlotte,NC,69.67
1988-08-01,Las Vegas,NV,68.11
1988-08-01,New York,NY,85.33
1988-08-01,Cleveland,OH,60.32
1988-08-01,Portland,OR,43.54
1988-08-01,Dallas,TX,
1988-08-01,Seattle,WA,
1988-08-01,10,Composite,75.7
1988-08-01,20,Composite,
1988-08-01,US,National,72.19
1988-09-01,Phoenix,AZ,
1988-09-01,Los Angeles,CA,81.23
1988-09-01,San Diego,CA,66.45
1988-09-01,San Francisco,CA,59.5
1988-09-01,Denver,CO,48.37
1988-09-01,Washington,DC,83.59
1988-09-01,Miami,FL,75.63
1988-09-01,Tampa,FL,80.78
1988-09-01,Atlanta,GA,
1988-09-01,Chicago,IL,68.71
1988-09-01,Boston,MA,75.38
1988-09-01,Detroit,MI,
1988-09-01,Minneapolis,MN,
1988-09-01,Charlotte,NC,69.93
1988-09-01,Las Vegas,NV,69.06
1988-09-01,New York,NY,85.54
1988-09-01,Cleveland,OH,60.6
1988-09-01,Portland,OR,43.72
1988-09-01,Dallas,TX,
1988-09-01,Seattle,WA,
1988-09-01,10,Composite,76.4
1988-09-01,20,Composite,
1988-09-01,US,National,72.58
1988-10-01,Phoenix,AZ,
1988-10-01,Los Angeles,CA,82.94
1988-10-01,San Diego,CA,67.47
1988-10-01,San Francisco,CA,60.37
1988-10-01,Denver,CO,48.27
1988-10-01,Washington,DC,83.94
1988-10-01,Miami,FL,75.86
1988-10-01,Tampa,FL,80.84
1988-10-01,Atlanta,GA,
1988-10-01,Chicago,IL,69.37
1988-10-01,Boston,MA,75.25
1988-10-01,Detroit,MI,
1988-10-01,Minneapolis,MN,
1988-10-01,Charlotte,NC,70.1
1988-10-01,Las Vegas,NV,69.19
1988-10-01,New York,NY,85.14
1988-10-01,Cleveland,OH,60.84
1988-10-01,Portland,OR,44.02
1988-10-01,Dallas,TX,
1988-10-01,Seattle,WA,
1988-10-01,10,Composite,76.9
1988-10-01,20,Composite,
1988-10-01,US,National,72.83
1988-11-01,Phoenix,AZ,
1988-11-01,Los Angeles,CA,84.69
1988-11-01,San Diego,CA,68.62
1988-11-01,San Francisco,CA,61.31
1988-11-01,Denver,CO,47.86
1988-11-01,Washington,DC,84.68
1988-11-01,Miami,FL,76.09
1988-11-01,Tampa,FL,80.61
1988-11-01,Atlanta,GA,
1988-11-01,Chicago,IL,68.27
1988-11-01,Boston,MA,75.01
1988-11-01,Detroit,MI,
1988-11-01,Minneapolis,MN,
1988-11-01,Charlotte,NC,69.56
1988-11-01,Las Vegas,NV,68.64
1988-11-01,New York,NY,84.82
1988-11-01,Cleveland,OH,60.88
1988-11-01,Portland,OR,44.05
1988-11-01,Dallas,TX,
1988-11-01,Seattle,WA,
1988-11-01,10,Composite,77.28
1988-11-01,20,Composite,
1988-11-01,US,National,73.07
1988-12-01,Phoenix,AZ,
1988-12-01,Los Angeles,CA,85.97
1988-12-01,San Diego,CA,69.84
1988-12-01,San Francisco,CA,62.2
1988-12-01,Denver,CO,47.36
1988-12-01,Washington,DC,85.74
1988-12-01,Miami,FL,76.19
1988-12-01,Tampa,FL,80.74
1988-12-01,Atlanta,GA,
1988-12-01,Chicago,IL,67.7
1988-12-01,Boston,MA,74.79
1988-12-01,Detroit,MI,
1988-12-01,Minneapolis,MN,
1988-12-01,Charlotte,NC,69.7
1988-12-01,Las Vegas,NV,67.98
1988-12-01,New York,NY,84.33
1988-12-01,Cleveland,OH,61.06
1988-12-01,Portland,OR,44.24
1988-12-01,Dallas,TX,
1988-12-01,Seattle,WA,
1988-12-01,10,Composite,77.58
1988-12-01,20,Composite,
1988-12-01,US,National,73.29
1989-01-01,Phoenix,AZ,67.54
1989-01-01,Los Angeles,CA,87.3
1989-01-01,San Diego,CA,70.96
1989-01-01,San Francisco,CA,62.66
1989-01-01,Denver,CO,47.23
1989-01-01,Washington,DC,86.5
1989-01-01,Miami,FL,76.59
1989-01-01,Tampa,FL,80.41
1989-01-01,Atlanta,GA,
1989-01-01,Chicago,IL,67.46
1989-01-01,Boston,MA,74.23
1989-01-01,Detroit,MI,
1989-01-01,Minneapolis,MN,63.13
1989-01-01,Charlotte,NC,69.76
1989-01-01,Las Vegas,NV,68.73
1989-01-01,New York,NY,84.32
1989-01-01,Cleveland,OH,61.41
1989-01-01,Portland,OR,44.26
1989-01-01,Dallas,TX,
1989-01-01,Seattle,WA,
1989-01-01,10,Composite,77.99
1989-01-01,20,Composite,
1989-01-01,US,National,73.62
1989-02-01,Phoenix,AZ,67.43
1989-02-01,Los Angeles,CA,88.28
1989-02-01,San Diego,CA,72.27
1989-02-01,San Francisco,CA,63.32
1989-02-01,Denver,CO,47.21
1989-02-01,Washington,DC,87.34
1989-02-01,Miami,FL,76.82
1989-02-01,Tampa,FL,80.73
1989-02-01,Atlanta,GA,
1989-02-01,Chicago,IL,68.32
1989-02-01,Boston,MA,74.59
1989-02-01,Detroit,MI,
1989-02-01,Minneapolis,MN,62.81
1989-02-01,Charlotte,NC,70.23
1989-02-01,Las Vegas,NV,69.11
1989-02-01,New York,NY,83.77
1989-02-01,Cleveland,OH,61.25
1989-02-01,Portland,OR,44.57
1989-02-01,Dallas,TX,
1989-02-01,Seattle,WA,
1989-02-01,10,Composite,78.36
1989-02-01,20,Composite,
1989-02-01,US,National,73.97
1989-03-01,Phoenix,AZ,67.71
1989-03-01,Los Angeles,CA,90.34
1989-03-01,San Diego,CA,73.92
1989-03-01,San Francisco,CA,64.64
1989-03-01,Denver,CO,47.33
1989-03-01,Washington,DC,88.14
1989-03-01,Miami,FL,77.0
1989-03-01,Tampa,FL,81.57
1989-03-01,Atlanta,GA,
1989-03-01,Chicago,IL,69.93
1989-03-01,Boston,MA,74.48
1989-03-01,Detroit,MI,
1989-03-01,Minneapolis,MN,62.43
1989-03-01,Charlotte,NC,70.52
1989-03-01,Las Vegas,NV,69.97
1989-03-01,New York,NY,83.27
1989-03-01,Cleveland,OH,61.37
1989-03-01,Portland,OR,44.56
1989-03-01,Dallas,TX,
1989-03-01,Seattle,WA,
1989-03-01,10,Composite,79.12
1989-03-01,20,Composite,
1989-03-01,US,National,74.41
1989-04-01,Phoenix,AZ,67.65
1989-04-01,Los Angeles,CA,92.11
1989-04-01,San Diego,CA,75.45
1989-04-01,San Francisco,CA,66.27
1989-04-01,Denver,CO,47.33
1989-04-01,Washington,DC,88.99
1989-04-01,Miami,FL,77.32
1989-04-01,Tampa,FL,81.8
1989-04-01,Atlanta,GA,
1989-04-01,Chicago,IL,70.68
1989-04-01,Boston,MA,74.63
1989-04-01,Detroit,MI,
1989-04-01,Minneapolis,MN,63.03
1989-04-01,Charlotte,NC,70.67
1989-04-01,Las Vegas,NV,69.61
1989-04-01,New York,NY,82.94
1989-04-01,Cleveland,OH,61.57
1989-04-01,Portland,OR,45.0
1989-04-01,Dallas,TX,
1989-04-01,Seattle,WA,
1989-04-01,10,Composite,79.83
1989-04-01,20,Composite,
1989-04-01,US,National,74.87
1989-05-01,Phoenix,AZ,67.9
1989-05-01,Los Angeles,CA,93.98
1989-05-01,San Diego,CA,76.83
1989-05-01,San Francisco,CA,67.77
1989-05-01,Denver,CO,47.49
1989-05-01,Washington,DC,89.62
1989-05-01,Miami,FL,77.19
1989-05-01,Tampa,FL,82.34
1989-05-01,Atlanta,GA,
1989-05-01,Chicago,IL,70.48
1989-05-01,Boston,MA,74.73
1989-05-01,Detroit,MI,
1989-05-01,Minneapolis,MN,63.31
1989-05-01,Charlotte,NC,71.13
1989-05-01,Las Vegas,NV,69.64
1989-05-01,New York,NY,82.97
1989-05-01,Cleveland,OH,62.63
1989-05-01,Portland,OR,45.44
1989-05-01,Dallas,TX,
1989-05-01,Seattle,WA,
1989-05-01,10,Composite,80.52
1989-05-01,20,Composite,
1989-05-01,US,National,75.3
1989-06-01,Phoenix,AZ,67.66
1989-06-01,Los Angeles,CA,95.55
1989-06-01,San Diego,CA,78.31
1989-06-01,San Francisco,CA,69.26
1989-06-01,Denver,CO,47.73
1989-06-01,Washington,DC,90.48
1989-06-01,Miami,FL,77.68
1989-06-01,Tampa,FL,82.06
1989-06-01,Atlanta,GA,
1989-06-01,Chicago,IL,70.91
1989-06-01,Boston,MA,74.63
1989-06-01,Detroit,MI,
1989-06-01,Minneapolis,MN,63.89
1989-06-01,Charlotte,NC,71.52
1989-06-01,Las Vegas,NV,71.19
1989-06-01,New York,NY,82.95
1989-06-01,Cleveland,OH,63.13
1989-06-01,Portland,OR,46.1
1989-06-01,Dallas,TX,
1989-06-01,Seattle,WA,
1989-06-01,10,Composite,81.24
1989-06-01,20,Composite,
1989-06-01,US,National,75.7
1989-07-01,Phoenix,AZ,67.56
1989-07-01,Los Angeles,CA,96.71
1989-07-01,San Diego,CA,79.36
1989-07-01,San Francisco,CA,70.27
1989-07-01,Denver,CO,47.64
1989-07-01,Washington,DC,91.26
1989-07-01,Miami,FL,78.05
1989-07-01,Tampa,FL,82.13
1989-07-01,Atlanta,GA,
1989-07-01,Chicago,IL,70.89
1989-07-01,Boston,MA,74.68
1989-07-01,Detroit,MI,
1989-07-01,Minneapolis,MN,63.85
1989-07-01,Charlotte,NC,71.79
1989-07-01,Las Vegas,NV,71.56
1989-07-01,New York,NY,82.67
1989-07-01,Cleveland,OH,63.78
1989-07-01,Portland,OR,46.5
1989-07-01,Dallas,TX,
1989-07-01,Seattle,WA,
1989-07-01,10,Composite,81.66
1989-07-01,20,Composite,
1989-07-01,US,National,76.05
1989-08-01,Phoenix,AZ,67.28
1989-08-01,Los Angeles,CA,97.51
1989-08-01,San Diego,CA,80.56
1989-08-01,San Francisco,CA,71.36
1989-08-01,Denver,CO,47.78
1989-08-01,Washington,DC,91.84
1989-08-01,Miami,FL,78.56
1989-08-01,Tampa,FL,81.5
1989-08-01,Atlanta,GA,
1989-08-01,Chicago,IL,71.31
1989-08-01,Boston,MA,74.07
1989-08-01,Detroit,MI,
1989-08-01,Minneapolis,MN,64.07
1989-08-01,Charlotte,NC,71.92
1989-08-01,Las Vegas,NV,72.65
1989-08-01,New York,NY,82.63
1989-08-01,Cleveland,OH,64.59
1989-08-01,Portland,OR,46.97
1989-08-01,Dallas,TX,
1989-08-01,Seattle,WA,
1989-08-01,10,Composite,82.08
1989-08-01,20,Composite,
1989-08-01,US,National,76.28
1989-09-01,Phoenix,AZ,67.14
1989-09-01,Los Angeles,CA,97.99
1989-09-01,San Diego,CA,81.58
1989-09-01,San Francisco,CA,72.31
1989-09-01,Denver,CO,47.8
1989-09-01,Washington,DC,92.35
1989-09-01,Miami,FL,78.58
1989-09-01,Tampa,FL,81.77
1989-09-01,Atlanta,GA,
1989-09-01,Chicago,IL,70.88
1989-09-01,Boston,MA,73.71
1989-09-01,Detroit,MI,
1989-09-01,Minneapolis,MN,64.0
1989-09-01,Charlotte,NC,71.9
1989-09-01,Las Vegas,NV,73.41
1989-09-01,New York,NY,82.38
1989-09-01,Cleveland,OH,65.04
1989-09-01,Portland,OR,47.26
1989-09-01,Dallas,TX,
1989-09-01,Seattle,WA,
1989-09-01,10,Composite,82.25
1989-09-01,20,Composite,
1989-09-01,US,National,76.43
1989-10-01,Phoenix,AZ,66.68
1989-10-01,Los Angeles,CA,98.55
1989-10-01,San Diego,CA,82.44
1989-10-01,San Francisco,CA,72.95
1989-10-01,Denver,CO,48.12
1989-10-01,Washington,DC,92.45
1989-10-01,Miami,FL,78.62
1989-10-01,Tampa,FL,82.0
1989-10-01,Atlanta,GA,
1989-10-01,Chicago,IL,70.36
1989-10-01,Boston,MA,73.38
1989-10-01,Detroit,MI,
1989-10-01,Minneapolis,MN,64.21
1989-10-01,Charlotte,NC,72.05
1989-10-01,Las Vegas,NV,74.27
